mu_ess,mu_r_hat,sigma_ess,sigma_r_hat,epsilon,time,megabytes,gctime,gcpercent,allocations,sampler,Nd,Nsamples,Nadapt,delta
402.0892618416266,0.9990620917087423,531.3473476180054,0.9990909292921533,0.7564350000000084,0.48830715,0.4311865,0,0,94046,CmdStanNUTS,10,2000,1000,0.8
433.5678395519035,1.0004927703415165,583.9053688507339,0.999983236566747,0.11697810805778233,7.678776192,140.2467845,0.505790044,0.06586857480322823,32404719,AHMCNUTS,10,2000,1000,0.8
398.9318471664811,0.999044971837155,317.1108034410394,1.0063820993403476,0.5573895021698753,5.930837771,87.3075994,0.465658282,0.07851475625870731,16588124,DHMCNUTS,10,2000,1000,0.8
633.485282050168,1.002422956930143,576.4855481228238,0.9990143592088669,0.7053939999999943,0.433989061,0.3655232,0,0,82741,CmdStanNUTS,10,2000,1000,0.8
556.1168984224906,0.9992197542921312,527.6853551711391,0.9991604587269436,0.14795524644689598,1.73814352,45.6376208,0.151506309,0.08716559205651787,13858257,AHMCNUTS,10,2000,1000,0.8
550.4699024528032,0.9993066689091266,394.62854975786837,0.9990293038038675,0.45706652233421813,0.099118189,5.887704,0.021920096,0.2211510946795043,1719949,DHMCNUTS,10,2000,1000,0.8
433.5714701800817,1.0044904536387473,382.4632624407008,1.0055508126147565,0.7321640000000091,0.380724234,0.365536,0,0,82741,CmdStanNUTS,10,2000,1000,0.8
684.3565931962484,0.999075161591976,414.93935534673926,0.9995983312209549,0.2916424225567765,1.378429974,35.2060656,0.155883927,0.1130880276403508,10100604,AHMCNUTS,10,2000,1000,0.8
582.2171855834384,1.0080154197540887,392.59349235282576,0.9999894539836166,0.6467026939333631,0.082361079,5.2156352,0.011034338,0.1339751510540555,1520512,DHMCNUTS,10,2000,1000,0.8
605.7163188668092,1.0011974699390733,496.18255894871277,1.001116071946431,0.6294490000000115,0.40710912,0.365304,0.003603971,0.00885259215023235,82741,CmdStanNUTS,10,2000,1000,0.8
209.71478375384316,1.0115876852349668,365.3761058458167,1.0009449153157484,0.39500856820122404,1.333236375,35.22676,0.095599162,0.0717045857678463,10107922,AHMCNUTS,10,2000,1000,0.8
462.75551143926435,0.9992719547752132,300.7244733054603,1.0001062400412353,0.6741188954233533,0.097069981,5.3846816,0.016651731,0.17154356916995792,1570389,DHMCNUTS,10,2000,1000,0.8
348.6688452003627,1.0018554887715336,522.8281549668033,1.000858850757891,0.786588000000015,0.4727617,0.3653728,0,0,82741,CmdStanNUTS,10,2000,1000,0.8
381.999727601536,1.001554302001528,305.6447221966631,1.0032570262846205,0.15902176983342137,1.835131232,42.8334992,0.119918656,0.06534609291636752,12848247,AHMCNUTS,10,2000,1000,0.8
426.168120388834,0.9990718306058346,320.5547318435174,0.998999501794277,0.5681176057516318,0.097293353,5.4962624,0.013042456,0.1340528987627757,1603466,DHMCNUTS,10,2000,1000,0.8
616.1362829332417,1.002722479088603,532.406130389796,0.9990189124723007,0.6527330000000092,0.431583772,0.3654736,0,0,82742,CmdStanNUTS,10,2000,1000,0.8
219.12726173610739,0.9990107002447176,326.4933416952241,0.9995906108594824,0.2511079459495194,1.620386698,37.9580256,0.104192401,0.0643009481184966,11091941,AHMCNUTS,10,2000,1000,0.8
579.2224499069855,0.9991158663627278,402.8011999571902,1.0103730322192173,0.5789167126645602,0.098320399,5.5018736,0.014523191,0.14771289730018283,1603974,DHMCNUTS,10,2000,1000,0.8
511.3788389406538,1.0065866976123328,666.4937591570259,0.9990008854942724,0.7453550000000102,0.458175342,0.3654496,0.003823064,0.00834410682886553,82741,CmdStanNUTS,10,2000,1000,0.8
231.92381961951565,1.0024356881169132,394.70463254738854,1.000294458020255,0.436298505456153,1.32746721,33.6773248,0.093807671,0.07066665774742564,9549689,AHMCNUTS,10,2000,1000,0.8
603.1633001227669,0.9999072840867297,396.5864991858924,0.9997379221249535,0.6214898629485672,0.102538771,5.404536,0.016078709,0.15680614116196107,1578143,DHMCNUTS,10,2000,1000,0.8
660.3026980348815,0.9990152799873121,363.1596984530729,0.999855414212544,0.7229790000000074,0.377461311,0.3655728,0,0,82741,CmdStanNUTS,10,2000,1000,0.8
434.82310116596886,0.999003092616288,464.89314669391086,1.0029729611292895,0.10662631450298851,2.228288516,52.4589376,0.147781749,0.06632074255145512,16315069,AHMCNUTS,10,2000,1000,0.8
338.5988228857763,0.9995345711858918,262.95351152479,1.0096738660538778,0.4361125156839172,0.096716309,5.695392,0.015593185,0.1612260141151582,1660923,DHMCNUTS,10,2000,1000,0.8
639.5871873825643,1.0022398376164212,540.7719262882238,0.9992463024109612,0.8585799999999882,0.452326729,0.3651408,0,0,82741,CmdStanNUTS,10,2000,1000,0.8
381.3998424104892,1.0018305320381873,624.4624606259628,0.9990301797693326,0.2311001866693216,1.627022911,41.5673232,0.123863296,0.07612879644323582,12392007,AHMCNUTS,10,2000,1000,0.8
660.3640583860836,0.9993699661680411,411.8010270946728,1.005833828320547,0.559446273423658,0.092124928,5.3522336,0.011972306,0.1299572901701481,1561799,DHMCNUTS,10,2000,1000,0.8
423.7032149827803,0.9995226642064885,527.0257278456668,0.9997568538623063,0.7201629999999947,0.434510196,0.3654704,0.003686302,0.008483810124446423,82741,CmdStanNUTS,10,2000,1000,0.8
324.2636520818523,1.0066989069142998,417.7935055691944,1.0030656586230586,0.31325395495190406,1.753500208,35.7770896,0.11427406,0.06516911687757268,10306297,AHMCNUTS,10,2000,1000,0.8
