c_ess,c_ess_ps,c_hdp_lb,c_hdp_ub,c_mean,c_r_hat,d_ess,d_ess_ps,d_hdp_lb,d_hdp_ub,d_mean,d_r_hat,epsilon,time,megabytes,gctime,gcpercent,allocations,sampler,Nsamples,Nadapt,delta,Nd,c_sampler_rhat,d_sampler_rhat
1e3,1702.512969411811,-0.507087,0.512084,-0.007146739372900004,0.9992606779319229,1e3,1702.512969411811,-0.520248,1.5189,0.4461740041999999,0.9996170317579953,0.8998350000000208,0.587367038,7.260128,0,0,166045,CmdStanNUTS,2000,1000,0.8,10,0.9993477834709511,1.009430526184453
986.2211582898786,1851.954772452528,-0.5112972235755968,0.4791776933593772,0.0009101241862274292,0.9990022122298301,1e3,1877.8290821339137,-0.4623785987847238,1.1816798267833184,0.31928555853524454,1.0003674251616024,0.8642212831570057,0.532529829,202.406824,0.276681164,0.5195599362378628,2103111,AHMCNUTS,2000,1000,0.8,10,0.9993477834709511,1.009430526184453
1e3,13992.33617360034,-0.5325192262159599,0.4710705702615257,-0.0131392510368993,0.9989995062967486,1e3,13992.33617360034,-0.5261326298787129,1.0750475036968277,0.3225724322319332,1.0009115456582989,1.1006697337146403,0.071467694,41.979842,0.02000384,0.2799004540429134,1167103,DHMCNUTS,2000,1000,0.8,10,0.9993477834709511,1.009430526184453
888.2540874043565,1970.7753529145014,-0.414876,0.671957,0.1276879334070002,0.9990570131420682,641.4203220039677,1423.123607748121,0.149772,2.36838,1.186777280770001,1.0033620218223116,0.9120139999999993,0.450713008,7.25328,0,0,166045,CmdStanNUTS,2000,1000,0.8,10,0.9992348557869936,1.0712610597156729
782.6832188780975,2490.558352031343,-0.45176921648460866,0.6374785197054099,0.12560797451627564,0.9990443440898896,861.9067064012185,2742.6535979350256,-0.05093618036948333,1.7740542226562586,0.8156706736042194,0.9989995913174825,0.8723214217642722,0.314260141,200.751344,0.055720175,0.17730589320902773,2066708,AHMCNUTS,2000,1000,0.8,10,0.9992348557869936,1.0712610597156729
1e3,10004.427859726437,-0.41257870434899163,0.6578084482250934,0.11566407807712015,0.9989995142243776,1e3,10004.427859726437,-0.03353619406417274,1.680711589236345,0.8211896931754156,0.9996640342934814,0.9560804728362432,0.099955741,48.290944,0.015120527,0.1512722215725458,1345975,DHMCNUTS,2000,1000,0.8,10,0.9992348557869936,1.0712610597156729
601.8349298861312,1279.446343813155,-1.20286,0.149807,-0.5366338399000005,1.0009227957933782,527.6248625269732,1121.6824875764173,0.648347,3.45438,2.0429087625,0.9991385347682006,0.7998099999999869,0.470387002,7.251952,0,0,166045,CmdStanNUTS,2000,1000,0.8,10,1.0125637094460882,1.2297433950753545
750.1707736429041,2405.9463817164174,-0.9634095822604358,0.19043035938822894,-0.43438354636765536,0.9999578511497039,626.2676350169644,2008.564454115102,0.30275701193702376,2.146365724856854,1.2233315870059724,0.999816391278472,0.8851760751996315,0.311798625,202.614672,0.0584633,0.18750339261438373,2109694,AHMCNUTS,2000,1000,0.8,10,1.0125637094460882,1.2297433950753545
893.7509338774706,7655.23510534321,-1.0200825029490117,0.132960004932749,-0.43985044022041453,0.9991744713475789,614.0642650623505,5259.637937884991,0.34983172446757543,2.2547187312469363,1.256919053416021,0.9998398674653336,0.8127155830288736,0.116750292,59.877648,0.01576419,0.13502484430617098,1672604,DHMCNUTS,2000,1000,0.8,10,1.0125637094460882,1.2297433950753545
298.8775288697996,523.0849948524316,-0.082226,1.29672,0.5851622069430005,0.9990412471214762,496.6060330095297,869.1425053023607,0.72799,3.39403,2.101060180999998,0.9991625813740027,0.7006989999999886,0.571374694,7.24992,0,0,166045,CmdStanNUTS,2000,1000,0.8,10,1.032711886998911,1.248195890404174
881.9131181579362,2449.339225814842,-0.1396485606306625,1.0364788219668186,0.4270693098733496,0.9992487994797924,643.0544607822204,1785.9565559235023,0.4275820329499654,2.2678692376812233,1.2621512928248058,1.0001916869026977,0.7432117071346369,0.360061648,206.43072,0.060881606,0.16908661707841763,2198323,AHMCNUTS,2000,1000,0.8,10,1.032711886998911,1.248195890404174
884.3257771046068,6090.019972001646,-0.16750196604811501,1.0064466781266768,0.4153227258260296,0.9994206112139389,791.6136598360596,5451.546390850769,0.3609678267339296,2.3446696132310025,1.2791864354201306,0.9997905011809507,0.936543670632634,0.145209011,50.21248,0.020019594,0.1378674357888162,1399738,DHMCNUTS,2000,1000,0.8,10,1.032711886998911,1.248195890404174
