mu_ess,mu_ess_ps,mu_hdp_lb,mu_hdp_ub,mu_mean,mu_r_hat,sigma_ess,sigma_ess_ps,sigma_hdp_lb,sigma_hdp_ub,sigma_mean,sigma_r_hat,epsilon,tree_depth,time,megabytes,gctime,gcpercent,allocations,sampler,Nsamples,Nadapt,delta,Nd,mu_sampler_rhat,sigma_sampler_rhat
562.9385991755499,1400.0077796585852,-0.695929,0.299531,-0.17486024581170004,1.0024036101584863,558.2289335316067,1388.2950128474838,0.471621,1.21861,0.8140706800000015,0.9995786309446278,0.7518870000000084,2.211,0.402096765,7.258032,0.013953065,0.0347007641307435,166025,CmdStanNUTS,2000,1000,0.8,10,1.0004834573843646,1.003106441647187
676.1439165312178,1665.4854907190493,-0.6131022375118156,0.3226922495294764,-0.1526625008180234,0.9991541397451223,533.4746710113603,1314.0609602667582,0.46977220814608905,1.2619154548811355,0.8326626029428655,1.0064192955605418,0.7091649066511868,2.308,0.405974066,151.455024,0.087965825,0.21667843433132006,3279434,AHMCNUTS,2000,1000,0.8,10,1.0004834573843646,1.003106441647187
611.880971245374,5344.848964977196,-0.7277264969353742,0.340326087217685,-0.16969393424834742,0.9990070366248429,373.06999856958527,3258.8083130943864,0.4673792313357819,1.2841971701289863,0.8502953432924124,0.9990097630406575,0.555277469799937,2.141,0.114480498,65.284288,0.044029166,0.3845997071046983,1565061,DHMCNUTS,2000,1000,0.8,10,1.0004834573843646,1.003106441647187
468.83575141260144,1031.5885726370782,0.146619,0.965014,0.5253604588999999,1.0003207807334458,496.20191549643437,1091.802884495196,0.375341,1.05573,0.6887020630000005,0.999752252832593,0.6524739999999923,2.168,0.454479396,7.260112,0.0,0.0,166025,CmdStanNUTS,2000,1000,0.8,10,0.9996659775185948,1.0006052271591197
642.5759841484984,2074.7339416654077,0.07129168267806793,0.9242669018916493,0.520516069905005,0.9998093295484094,501.0149487668317,1617.6650623906298,0.4010464330575856,1.0784366959279699,0.6824247604400002,1.001247197197951,0.6579946757391747,2.226,0.309714885,117.08792,0.062627828,0.20221123049994835,2537659,AHMCNUTS,2000,1000,0.8,10,0.9996659775185948,1.0006052271591197
838.67455480862,8645.895100519594,0.15216349072574853,0.9812960497498691,0.5243650544397742,0.999902782192087,304.3809560295129,3137.8629545134586,0.3801420234731917,1.0650672331632438,0.6898742683841614,1.0032490707785835,0.601170019826452,1.922,0.097002629,60.521312,0.032475651,0.3347914518894122,1451417,DHMCNUTS,2000,1000,0.8,10,0.9996659775185948,1.0006052271591197
426.31992588139366,957.140095344869,-0.892969,0.878455,-0.0877775247749999,1.0144999798214478,437.31137327298734,981.817231846565,0.975344,2.73526,1.7107894689999994,1.0054522177085852,0.8365079999999877,1.829,0.445410163,7.249136,0.0,0.0,166025,CmdStanNUTS,2000,1000,0.8,10,1.003278927707349,1.0017268196095614
638.1823414732887,1992.8033746935228,-0.9951276021503713,0.6707792842202404,-0.10887561638760114,0.9990974198158525,560.6693789039754,1750.7595521803207,1.0708688173654042,2.519316972914383,1.687184044157732,0.9990798937005738,0.5449383088165938,2.346,0.320243507,120.802112,0.063375417,0.19789758610156616,2617452,AHMCNUTS,2000,1000,0.8,10,1.003278927707349,1.0017268196095614
457.23012563355263,4489.236817712653,-0.9886523061402697,0.8000581665724149,-0.12625816344793378,1.0005219521991242,550.6801428408926,5406.760039267165,0.9813651136197141,2.5603725084906763,1.684848024426407,1.0027069585612047,0.6529210183094756,2.148,0.101850302,62.343472,0.039055115,0.3834560549462092,1495133,DHMCNUTS,2000,1000,0.8,10,1.003278927707349,1.0017268196095614
569.7654702549702,1448.098293452701,-0.858261,0.561158,-0.13814299766400004,0.9990867251251225,340.22388505209295,864.7025013911607,0.653137,1.86274,1.1814619950000003,0.999018545300985,0.7303239999999965,2.202,0.393457732,7.253136,0.0,0.0,166025,CmdStanNUTS,2000,1000,0.8,10,0.9996406391334451,1.0005061242398057
731.2873805206406,2446.795607628112,-0.851479694069992,0.5823041830790124,-0.1378775804689844,1.0008916195919502,388.55587072934424,1300.0590781996161,0.6928684820917956,1.8526795711372006,1.1896440115129603,0.9990656703263621,0.5931392908303249,2.196,0.298875549,114.185264,0.070039893,0.2343446736755304,2475379,AHMCNUTS,2000,1000,0.8,10,0.9996406391334451,1.0005061242398057
618.5421318488435,5509.083430929297,-0.7720015450868617,0.6621871638310073,-0.12999088011248353,0.9998509836279732,319.0218539156731,2841.3877066997843,0.655205672974173,1.869296154140821,1.201488733186371,1.004212864556047,0.6004611962560382,2.079,0.112276777,60.684256,0.037444771,0.33350414930417893,1454647,DHMCNUTS,2000,1000,0.8,10,0.9996406391334451,1.0005061242398057
535.9278523066052,1260.6707054880967,-0.832375,0.741201,-0.03396530440400001,0.9996579079779339,590.2091648892163,1388.357408714692,0.65107,1.79986,1.1642240529999985,0.9990104315764342,0.6634319999999871,2.287,0.425113275,7.25216,0.0,0.0,166025,CmdStanNUTS,2000,1000,0.8,10,1.0007274228694725,1.0005774645498335
741.3755501271653,3028.7343226870016,-0.6445101583441604,0.6238188520190439,-0.05881984098104038,0.999599520085113,526.1122958488131,2149.321444107024,0.6612461775315358,1.7738273180852897,1.171036630081424,1.0047298045745785,0.6058378148320668,2.271,0.244780648,116.208144,0.040858626,0.1669193473170314,2518666,AHMCNUTS,2000,1000,0.8,10,1.0007274228694725,1.0005774645498335
