c_ess,c_ess_ps,c_hdp_lb,c_hdp_ub,c_mean,c_r_hat,d_ess,d_ess_ps,d_hdp_lb,d_hdp_ub,d_mean,d_r_hat,epsilon,tree_depth,time,megabytes,gctime,gcpercent,allocations,sampler,Nsamples,Nadapt,delta,Nd,c_sampler_rhat,d_sampler_rhat
623.2152801637939,1399.8320924689738,-0.733579,0.559315,-0.004004755980000014,0.9990303181016994,744.2895363769273,1671.7824679065136,0.910037,3.22335,2.1144187249999993,0.9991857254726805,0.7844860000000083,2.199,0.445207167,7.251792,0,0,166092,CmdStanNUTS,2000,1000,0.8,10,0.9992838218198451,1.0007615208916874
551.4723958495459,1549.8739608342055,-0.5645949929423081,0.6460612189784184,-0.003810566199803509,0.999090364443018,661.6356491538419,1859.4799520354268,0.9257780460207339,3.344452772982075,2.1449365511548617,0.99906930297065,0.7467223313187477,2.25,0.355817576,112.173728,0.080353929,0.22582900457958266,2612102,AHMCNUTS,2000,1000,0.8,10,0.9992838218198451,1.0007615208916874
643.9020996855656,4738.310664236253,-0.6106485329169359,0.6101293821509765,-0.0020382935007259425,1.0003081658924107,689.6834038949381,5075.203558457042,1.0266516508589085,3.2907184567405015,2.1564185754282077,1.0051051100038952,0.6856605518371347,2.206,0.135892757,59.163585,0.051407743,0.37829641648965884,1469093,DHMCNUTS,2000,1000,0.8,10,0.9992838218198451,1.0007615208916874
1109.446350677207,2047.5597335132927,-0.414183,0.669903,0.13227117783680017,0.9994507991645475,1002.3513520521605,1849.9085296389856,0.0963392,2.30501,1.2046622616599985,1.0006893227710667,0.9123789999999892,1.765,0.541838332,7.252512,0,0,166092,CmdStanNUTS,2000,1000,0.8,10,0.9996231857821435,0.9997173635127129
743.9160754219482,1967.3845303180476,-0.3693406266829506,0.7618357431237991,0.1476496621966082,0.9992133471036222,1034.2373066585408,2735.1774548543162,0.2718511448527773,2.3172012418394887,1.176934716410205,0.9991906692555009,0.8743220540375211,1.924,0.37812439,103.356384,0.072834545,0.19262059503752194,2403875,AHMCNUTS,2000,1000,0.8,10,0.9996231857821435,0.9997173635127129
1057.4782876228285,7628.361339608934,-0.47240722324145046,0.6711267158953175,0.13956091718307415,1.0000631704663283,725.2708582665692,5231.907114029574,0.04020053871323248,2.159437836544297,1.1826713174246424,0.9992566745491817,0.8641768351554983,1.996,0.138624567,55.41944,0.028354572,0.2045421862345655,1398351,DHMCNUTS,2000,1000,0.8,10,0.9996231857821435,0.9997173635127129
944.1736141954885,1816.6707212512047,-0.834714,0.298492,-0.28793169477300046,0.9990369395255001,737.6574691236884,1419.316009599702,0.490192,2.6881,1.5042767096000003,0.9990332811685128,0.8121210000000134,2.115,0.519727435,7.25392,0,0,166093,CmdStanNUTS,2000,1000,0.8,10,1.0008090876485498,0.999619390314305
902.2687632955763,2776.4704745640242,-0.9490123043615721,0.24609786857527852,-0.32672355953458043,0.9990352119668807,701.4365500992033,2158.4675767972863,0.36522570069597915,2.6550014297338937,1.548758443205427,0.9990318101772686,0.9483301286197484,1.838,0.324969695,97.181248,0.062159081,0.19127654657151952,2257771,AHMCNUTS,2000,1000,0.8,10,1.0008090876485498,0.999619390314305
603.6254627459941,5280.276953592016,-0.8569831459532252,0.26851398300246737,-0.30935183765160745,0.9993408471379571,608.4374973527816,5322.370730283473,0.4728189460773833,2.840928932164025,1.5282584865565656,0.9991134521006756,0.7707451351387057,2.066,0.114317008,55.905248,0.027256668,0.23843055794462362,1411854,DHMCNUTS,2000,1000,0.8,10,1.0008090876485498,0.999619390314305
447.39180349888426,889.780235706236,-1.34771,0.0678492,-0.5589568627890004,0.9990340553526529,446.23086975943295,887.4713514391354,0.684846,3.36337,2.0256432423999993,0.999001250406995,0.6162649999999986,2.171,0.502811577,7.252784,0.010315248,0.020515136229649702,166092,CmdStanNUTS,2000,1000,0.8,10,0.9996005737459868,0.9991430004823334
490.2241644085042,1425.5979155229415,-1.3154179657424232,0.04496517247092837,-0.5758168524551764,0.9997627729333283,490.97086530292495,1427.769361395851,0.7560556863296836,3.336910028288257,2.0456204594522487,0.9991477674614034,0.7131818199513794,2.028,0.343872672,104.86896,0.067684978,0.19683151210108377,2439115,AHMCNUTS,2000,1000,0.8,10,0.9996005737459868,0.9991430004823334
511.6083946630456,4804.4627003596,-1.1945371230268806,0.05029152921063357,-0.5634609860388317,0.9999894606811541,588.3675520903506,5525.30018586139,0.7942326845733283,3.4510461657427816,2.0462070570285738,0.9990038428640873,0.7756420377711492,1.959,0.106486079,52.736272,0.02644838,0.24837406211566868,1330360,DHMCNUTS,2000,1000,0.8,10,0.9996005737459868,0.9991430004823334
1092.641901647598,2620.3550140496054,-0.593546,0.593986,0.012685645583000003,1.0012623043071218,1008.7955075167829,2419.276033882944,0.855201,3.3462,2.0995350360000034,0.9990074233630669,0.9486229999999979,1.765,0.416982392,7.251008,0.009146873,0.021935873493670207,166092,CmdStanNUTS,2000,1000,0.8,10,1.0016193176404022,0.9999159766183151
589.5182220950376,1362.1419541068879,-0.546388172965379,0.6673733932630221,0.018842008460310082,1.0011789264196387,642.7807158315801,1485.2103760482264,0.7338263108561758,3.3760059930123565,2.1218449922093408,1.0006538647593577,0.8112302028807789,2.316,0.432787655,132.30576,0.089361657,0.20647921900637392,3088970,AHMCNUTS,2000,1000,0.8,10,1.0016193176404022,0.9999159766183151
