mu_ess,mu_r_hat,sigma_ess,sigma_r_hat,epsilon,time,sampler,Nd,Nsamples,Nadapt,delta
480.9772760144673,0.9995472313352611,584.4164910086602,0.9992992086079923,0.6891070000000002,4.211759613,CmdStanNUTS,10,2000,1000,0.8
296.09936304335673,1.000046287981928,463.29425919283443,0.9999955210139256,0.2387786627426683,5.993062094,AHMCNUTS,10,2000,1000,0.8
618.1221512951763,0.999667701257121,422.6423871660655,0.9997271915162191,,5.486422603,DHMCNUTS,10,2000,1000,0.8
693.2560873395038,1.0059553649558493,615.0106131629911,1.0032957021007307,0.56776,0.632276296,CmdStanNUTS,10,2000,1000,0.8
337.0869730264212,1.001856890574619,420.21064524552344,1.0045879709957823,0.1760701616081176,1.22743748,AHMCNUTS,10,2000,1000,0.8
658.1554558884886,1.0027958913104693,325.07705853266424,0.9991428975347619,,0.042827266,DHMCNUTS,10,2000,1000,0.8
659.9016517997654,0.9990001590244196,498.30341691348303,0.9993416267939133,0.7603700000000008,0.601171381,CmdStanNUTS,10,2000,1000,0.8
231.30107422832018,0.9997553032063914,350.40744512368155,0.9990870507637136,0.11717670000147626,1.322136758,AHMCNUTS,10,2000,1000,0.8
530.5620049911878,0.9990515802504816,421.3113007565214,0.9998721923368911,,0.048315694,DHMCNUTS,10,2000,1000,0.8
640.2052420388684,1.0053416691688468,492.07038768475053,0.9994715785947043,0.778072999999999,0.616278039,CmdStanNUTS,10,2000,1000,0.8
454.2141123767754,1.0047095911371244,423.0653051539545,0.9996275869668533,0.06977673867237986,1.597665234,AHMCNUTS,10,2000,1000,0.8
709.5141327789937,0.9994352216239887,317.16786008515646,0.9990243539439866,,0.049572091,DHMCNUTS,10,2000,1000,0.8
515.6792299440726,1.0006451964841403,543.9985417697777,0.9999633581922648,0.7576210000000001,0.657970491,CmdStanNUTS,10,2000,1000,0.8
614.5116000906412,0.9995799463622447,293.28898640109844,0.9998491008456831,0.1929392635530184,0.97142728,AHMCNUTS,10,2000,1000,0.8
485.9252684890989,0.9990201020055715,272.5181660738905,1.006787494635079,,0.054053976,DHMCNUTS,10,2000,1000,0.8
543.7792794228619,1.0012883922109905,344.1007929212444,1.001504282952623,0.6653779999999999,0.709327193,CmdStanNUTS,10,2000,1000,0.8
530.8000527063954,1.0028975959344064,471.7007067087647,1.0049968375004508,0.20688509307017416,0.93924224,AHMCNUTS,10,2000,1000,0.8
503.9124704191861,0.9990351113906674,362.1340610238273,1.000541648804942,,0.058031874,DHMCNUTS,10,2000,1000,0.8
438.7905345072217,1.0017798582972075,362.5248290733479,1.0063635016598553,0.6136649999999997,0.612151042,CmdStanNUTS,10,2000,1000,0.8
616.681048719666,0.9993139555492526,322.3749521464875,1.0028256098455297,0.08786668115011943,1.338271442,AHMCNUTS,10,2000,1000,0.8
577.0969106441107,1.0004613259410324,267.9332605535484,1.0078095075206217,,0.05645858,DHMCNUTS,10,2000,1000,0.8
435.59920096323225,1.0105145372586655,396.0944663193174,0.9993883030774118,0.6785849999999989,0.63766978,CmdStanNUTS,10,2000,1000,0.8
454.5232929370359,0.9991846383998392,390.9283545612956,1.0042246069069583,0.1457682796339805,1.063569044,AHMCNUTS,10,2000,1000,0.8
583.5902057849244,0.9992483005975401,290.5568053144165,1.0050090931930022,,0.055818575,DHMCNUTS,10,2000,1000,0.8
500.54458411692366,0.9991915191860139,317.7156399865948,1.0021615949803975,0.7640910000000003,0.650725157,CmdStanNUTS,10,2000,1000,0.8
422.6547358808938,1.0029260789581524,440.4834886234375,1.0016814436578694,0.3047247471468047,0.886090512,AHMCNUTS,10,2000,1000,0.8
670.4669905329589,0.9994513480629876,399.9215756307107,1.0012480266313895,,0.046604267,DHMCNUTS,10,2000,1000,0.8
396.68148867001656,1.0004817358222353,415.1448962701176,0.9995816858882448,0.5844160000000004,0.629621297,CmdStanNUTS,10,2000,1000,0.8
481.72647788500313,1.0017086015596015,358.73138865828355,1.0064555194491178,0.12754894596121777,1.069410889,AHMCNUTS,10,2000,1000,0.8
613.229907703692,1.00003085281011,220.12981357520903,0.9990149314638429,,0.064593086,DHMCNUTS,10,2000,1000,0.8
575.553546679358,1.0017922581672178,489.49238562360415,0.9991322209072718,0.7025289999999993,0.634807125,CmdStanNUTS,10,2000,1000,0.8
332.4008019644448,1.0004113459235058,412.406822075676,1.0028388622419822,0.11152302726922698,1.396604729,AHMCNUTS,10,2000,1000,0.8
921.4146559656433,1.0007589421691951,453.4749987510789,1.000355688985577,,0.043651489,DHMCNUTS,10,2000,1000,0.8
565.1562620401892,1.0026125077464585,520.3208785091796,1.0032049035249226,0.725437,0.62785209,CmdStanNUTS,10,2000,1000,0.8
349.80729341335456,1.0058028003677777,437.3385885332119,0.9990008286978516,0.14967810007628946,1.185173686,AHMCNUTS,10,2000,1000,0.8
489.26945353661336,0.9998985334241657,467.6032827282524,0.9993212131500658,,0.049883227,DHMCNUTS,10,2000,1000,0.8
423.15364386874523,0.9997538856482288,394.97094575199196,0.9989995214593924,0.5988809999999994,0.609654866,CmdStanNUTS,10,2000,1000,0.8
268.4714275843259,1.0001958575745924,223.05056015095607,1.0023358829860298,0.3199521471108976,0.803377976,AHMCNUTS,10,2000,1000,0.8
739.587960402262,0.9995168387146599,491.66807043837395,1.0008835898595463,,0.051623999,DHMCNUTS,10,2000,1000,0.8
560.4497030448192,0.999044115482995,528.8730781756475,1.0003339672678129,0.7389190000000005,0.61097741,CmdStanNUTS,10,2000,1000,0.8
365.04061064355164,0.9990602436757822,237.338443367561,1.009719306348694,0.10308176398735105,1.315261556,AHMCNUTS,10,2000,1000,0.8
716.5337540013247,0.9992915497110024,294.2373459468951,1.0032257885618372,,0.058918664,DHMCNUTS,10,2000,1000,0.8
301.66139565456666,1.0042498215077966,344.67349225747853,1.0032298991604436,0.6135110000000001,0.597055816,CmdStanNUTS,10,2000,1000,0.8
259.47301731664,0.9998532477839055,336.4199681057097,1.000869606128144,0.28361756084421674,0.782809786,AHMCNUTS,10,2000,1000,0.8
657.7841292240535,0.9990133323620336,230.78187233039498,0.9991549972963806,,0.054396886,DHMCNUTS,10,2000,1000,0.8
673.2137061527701,0.99926370713665,333.2698979419447,0.9990463333054034,0.6503390000000004,0.667336673,CmdStanNUTS,10,2000,1000,0.8
409.9832014202905,0.9994741046009574,471.1148255952493,0.9991147398905017,0.045479319887769876,2.050820171,AHMCNUTS,10,2000,1000,0.8
599.6336424801322,1.001808211148909,335.8811926500233,1.0007442663764203,,0.053946288,DHMCNUTS,10,2000,1000,0.8
504.58518195963103,1.0000612229851418,445.16801340634896,1.0100823459532078,0.6218999999999995,0.607453139,CmdStanNUTS,10,2000,1000,0.8
453.6604047468588,1.0016481440493472,507.8526863703669,0.9990150642528862,0.1500774338057688,1.060876322,AHMCNUTS,10,2000,1000,0.8
462.7612984671621,1.0044804665304679,386.1995794244027,1.00913602442948,,0.049161584,DHMCNUTS,10,2000,1000,0.8
