mu_ess,mu_r_hat,sigma_ess,sigma_r_hat,epsilon,time,megabytes,gctime,gcpercent,allocations,sampler,Nsamples,Nadapt,delta,Nd
314.87968086709185,1.0027532938692452,446.1865719351694,1.0065422039564051,0.6485630000000016,0.620003287,0.4311433,0,0,94044,CmdStanNUTS,2000,1000,0.8,10
433.5678395519035,1.0004927703415165,583.9053688507339,0.999983236566747,0.11697810805778233,7.903047587,140.0699199,0.516841509,0.06539774730069585,32379933,AHMCNUTS,2000,1000,0.8,10
642.9967310145865,0.9996692949166489,441.1432528339057,1.0046964210594735,0.6798805613719904,6.243335036,85.395891,0.493944947,0.07911555989736893,16214713,DHMCNUTS,2000,1000,0.8,10
619.6568242609756,1.0011293481718346,417.7426339146115,0.9995607207701621,0.7340930000000001,0.547049599,0.3657248,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
440.42534022392937,0.999809143746403,442.20934198475663,0.9990398290757532,0.39735147596553594,1.725722893,32.6162912,0.17680657,0.10245362724060474,9167482,AHMCNUTS,2000,1000,0.8,10
771.2915261031892,1.0009447640854474,402.3374784406957,1.005948278732908,0.5202755478913587,0.170361651,5.557288,0.014843297,0.08712815890707704,1621138,DHMCNUTS,2000,1000,0.8,10
553.326296508506,0.9990058609673436,454.7302911138876,0.9993144568190631,0.7326729999999864,0.72021937,0.3655264,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
90.62176036442615,1.0046814450188268,56.346024279859705,1.0193210704814735,0.6612340912380075,2.112499457,30.669936,0.106981306,0.05064205136030006,8466151,AHMCNUTS,2000,1000,0.8,10
682.1723396027476,1.0014091894905124,409.50113530082706,1.0048735435535283,0.5802451396683136,0.156985885,5.5922096,0.017615931,0.112213470656932,1630435,DHMCNUTS,2000,1000,0.8,10
573.5709185918789,1.0010711229782445,553.7478762850998,0.9993178643650058,0.7691210000000104,0.755619945,0.3655296,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
448.33353797818523,1.0049132430904832,452.1486223165458,0.9990420426099167,0.16507888966835454,2.824107981,43.4362832,0.147960282,0.052391864261368694,13065360,AHMCNUTS,2000,1000,0.8,10
756.8840903874825,0.999466084123909,533.8601778685594,1.0022437871404526,0.8638535679778788,0.117244812,4.0719808,0.014718534,0.1255367614901374,1184889,DHMCNUTS,2000,1000,0.8,10
650.6863968062112,0.9997618695839301,557.1778828235506,1.0014892428332127,0.7425660000000083,0.70746406,0.3653664,0.005720387,0.008085763395528531,82741,CmdStanNUTS,2000,1000,0.8,10
281.71473343072705,1.002689777403723,347.70066772895245,1.0030534282925168,0.40426505422815917,1.929241459,34.7261648,0.124519562,0.06454327498463737,9927577,AHMCNUTS,2000,1000,0.8,10
699.7050921936917,1.0000271908112763,420.7389302710366,1.0002328551838737,0.7000499852573537,0.118756921,5.3283104,0.012589689,0.10601225506680154,1555200,DHMCNUTS,2000,1000,0.8,10
382.6866262144389,0.9991437538899136,340.8759099028123,1.0020571856457865,0.5041239999999932,0.508065407,0.3654016,0,0,82742,CmdStanNUTS,2000,1000,0.8,10
480.87388071487726,0.9990279539410029,569.3675412421154,1.0026080511159485,0.11707261215799358,2.393078144,46.4794032,0.141238838,0.05901973504464048,14161501,AHMCNUTS,2000,1000,0.8,10
769.4692285486246,0.9997573215087654,451.4777171075311,0.9993682977383401,0.6379855545374773,0.16115846,5.6514272,0.02178777,0.13519470215836016,1643221,DHMCNUTS,2000,1000,0.8,10
589.1072719814081,1.0008786618964076,572.4717351757575,1.000848432300436,0.6947149999999841,0.576011157,0.3655232,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
483.8024397115243,0.9997136297914829,514.768549751661,0.9996304627569225,0.19531389681719882,1.961744615,40.8477536,0.132091587,0.06733373242877488,12132947,AHMCNUTS,2000,1000,0.8,10
532.673117682623,0.9991946323761571,413.132463333438,0.9995991673648117,0.4862275581262332,0.117559575,5.4817136,0.020769422,0.1766714621076165,1601268,DHMCNUTS,2000,1000,0.8,10
587.4551765931816,0.9990711275293456,450.71812428251985,0.9996354006394382,0.7128850000000182,0.52343359,0.3653392,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
274.92260528439743,1.0020662000459857,383.1580534289093,1.0015960939173092,0.04173329806630967,4.504024295,88.452224,0.278524438,0.06183901767785646,29277933,AHMCNUTS,2000,1000,0.8,10
877.2609185374926,0.9994794081850275,546.3761279531548,0.999617542482455,0.7022005444772172,0.123169817,5.1843552,0.013197495,0.1071487749307933,1509436,DHMCNUTS,2000,1000,0.8,10
535.565011518632,0.9997236534622008,517.357909921881,0.9995834550773878,0.8589030000000211,0.565361088,0.3654848,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
537.4054438052755,0.9990025193228629,372.6761723198884,1.0069947323841104,0.2267591364935717,1.830641543,38.7024704,0.119522809,0.06529012162814224,11360043,AHMCNUTS,2000,1000,0.8,10
521.6223114567526,0.9994106958310883,416.31168498889343,1.000694811325477,0.6060412760033839,0.113296404,5.4050224,0.013895227,0.12264490760006821,1577221,DHMCNUTS,2000,1000,0.8,10
446.3336004043744,1.0030024913445588,344.3676960708141,1.0147275846654538,0.6466090000000094,0.469323582,0.3653296,0.0039711,0.008461326369063637,82741,CmdStanNUTS,2000,1000,0.8,10
342.4336214939002,0.9990003028189636,586.4454482630941,0.9998037749533396,0.3478551030054248,1.668843259,35.6306128,0.119326921,0.07150277316726723,10253436,AHMCNUTS,2000,1000,0.8,10
736.0961644134691,0.9990034097937348,412.1482787045235,1.006428769489552,0.7043087458336811,0.113242633,5.3641104,0.021798263,0.19249166521940547,1568956,DHMCNUTS,2000,1000,0.8,10
603.8759112013269,0.9992579454917629,487.7568601518579,0.9992088365471006,0.7910980000000055,0.495262566,0.36552,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
