A_ess,A_r_hat,k_ess,k_r_hat,tau_ess,tau_r_hat,v[1]_ess,v[1]_r_hat,v[2]_ess,v[2]_r_hat,v[3]_ess,v[3]_r_hat,epsilon,time,megabytes,gctime,gcpercent,allocations,sampler,Nsamples,Nadapt,delta,Nd
188.45250733791315,1.008981893508221,75.79651186263204,1.0312100830880089,48.9930902803655,1.0366125229475067,113.85369050974464,1.010808601530456,130.535885282334,1.0001902458495096,264.796537608936,1.0035690569875348,0.047045400000000015,9.057682449,35.1178422,0.250786262,0.02768768538884775,6565277,CmdStanNUTS,2000,1000,0.8,10
251.83419191240122,0.9998596100555607,166.96967659603973,1.0156580724562403,188.39197301324995,1.0100211183902643,236.4119340841553,1.0096794000389024,295.8979124226932,1.0146678926307648,257.9080241326539,1.008845014112137,0.19884542749607584,27.265996086,1112.8471688,2.331650762,0.08551496723779,196555087,AHMCNUTS,2000,1000,0.8,10
321.18221668358484,0.9993195269890434,347.0217558879181,0.9996041927055852,218.34340108707474,1.0018722308709869,261.7313773571321,1.013408800566408,273.7636470479871,0.9997071096416371,242.68492589954946,1.0031235351875598,0.20810802194199243,10.441810793,150.3809335,0.760901633,0.0728706589387824,25462174,DHMCNUTS,2000,1000,0.8,10
708.9325383849473,1.0049423096917125,237.30299815499208,1.0167699061458482,244.5768311720335,1.0195652566456568,436.18860030957165,1.0002955896747945,414.87216911881313,1.0002328146943715,353.94937131820666,0.9997497687580355,0.138097,3.154195549,0.9502429,0,0,214015,CmdStanNUTS,2000,1000,0.8,10
105.3607403433289,1.030836275693135,63.04558149212829,1.0027403100630738,82.34328564154559,1.0338091248214627,63.870999180704096,1.0005772841822183,54.365559173557266,1.0534219221151322,118.81337459090159,1.011215685132176,0.35840870012820747,11.394713799,635.1536432,1.146926544,0.10065426514711184,111038168,AHMCNUTS,2000,1000,0.8,10
508.69742479902135,1.001458038715955,286.1845458885317,0.9994952990618176,220.1612839267533,1.0002367019298786,377.7318080538538,0.9995095235460583,399.22848146147265,0.9990921062991681,435.9312347808645,0.999003564746041,0.21081908548459596,1.130970136,34.521824,0.072126894,0.06377435769886677,4490827,DHMCNUTS,2000,1000,0.8,10
541.027273859005,0.9994999219963859,422.82420201859446,0.9995006935918054,422.01905402957357,1.0004620270694218,680.0416432034549,1.003491942900383,642.2259317488026,1.0002495454108575,735.4856759639557,1.0001791575897951,0.12974999999999984,2.887116512,0.9501019,0.024650725,0.008538181572354916,214015,CmdStanNUTS,2000,1000,0.8,10
357.08990181253154,1.0083159833474147,279.4748089373914,1.0056828894621472,396.1446233185464,1.0049865443467894,173.92790939829027,0.9990149422712468,250.61329902850412,0.9994190711533479,192.6143678489744,1.0049488791010937,0.038756311437019346,40.406296355,2346.5498688,4.694761828,0.11618886786239827,414495164,AHMCNUTS,2000,1000,0.8,10
316.288081714395,0.9991511169798997,147.53771481548816,1.0003495296705185,137.30233165597488,1.001361323719167,156.26496815392017,0.9990404926705164,578.4700999669775,0.9990333798819143,204.4354620277343,1.0021628118625334,0.24040118616186124,1.413084665,39.2107888,0.094605698,0.06694977331736879,5099633,DHMCNUTS,2000,1000,0.8,10
416.7446191700017,1.000248812202449,143.61578284430013,0.9996790666547986,123.23513192289391,0.99950805271237,335.72670622703293,1.0026924504589947,511.5720935857458,0.9995025647762198,471.82517608817847,1.0027284126437994,0.07880769999999995,3.670160385,0.9505019,0.026519832,0.007225796482460807,214015,CmdStanNUTS,2000,1000,0.8,10
288.4659442969242,0.9995908932836192,251.94692088866103,1.0028161300825436,269.7090420716444,1.003377224911408,362.6004696257599,0.9990092603708669,488.3847623802377,0.9990089805627137,340.65680477166336,0.9991159815868531,0.059603820676876286,30.780338441,1848.2545808,3.586322019,0.11651340435630006,326142866,AHMCNUTS,2000,1000,0.8,10
171.35097413862337,1.0162630144592615,173.3080833357324,1.0007805438015323,196.87392240282531,1.0041603962490049,302.9251849469161,1.0003680039233798,388.4255883182511,1.0069093691752378,152.21875171478374,1.0170315853652485,0.17079669476895976,1.450281086,43.2176656,0.097324117,0.06710707182179994,5614743,DHMCNUTS,2000,1000,0.8,10
534.2603917503777,1.0012841445859646,379.6441013227523,1.000211600784419,336.61952714170206,1.0031893833000376,424.1158880456282,0.9995332747191151,554.0609735114488,0.9995506403397408,499.35289568583175,0.9995947522543004,0.07841550000000014,3.40993386,0.9504269,0.024816286,0.007277644382228574,214015,CmdStanNUTS,2000,1000,0.8,10
675.8436825106962,0.9990538049172644,194.58211320669557,1.002027232552329,354.8544232343837,0.9997841591167241,438.5480428698598,0.9997370819126813,502.6925605313581,1.004338819382046,432.643991146214,1.0012332569100724,0.1500167467787403,19.828037477,1120.8123728,2.451779722,0.12365216299616136,197155841,AHMCNUTS,2000,1000,0.8,10
673.1071960439971,0.9998672560771862,319.02726188193543,0.9990310448041334,279.6872193516866,0.9993147135351829,316.7029391718252,0.9990374602025061,423.9143415967566,0.9989996079431238,399.8503494551616,0.9991790397188604,0.1818532355132964,1.390651924,41.8741504,0.088548909,0.06367438715023846,5441953,DHMCNUTS,2000,1000,0.8,10
227.50305397065168,1.000348596461035,217.5132206844754,1.000259511214865,199.76669810737098,1.002495784410393,337.4721690539068,1.0003393264729112,327.7076169792015,1.0006697059417273,309.33264875035826,1.00156835020801,0.0916047999999999,2.887663584,0.9503548,0.02538614,0.008791238751168877,214015,CmdStanNUTS,2000,1000,0.8,10
192.24778760118883,0.9996497024020987,117.2779522131386,1.002683660912423,135.90554566900073,0.9990261819364961,179.01888920641971,1.0006307894754534,77.69296438052156,0.9991845729103374,182.42450156603408,0.9991953947700354,0.30043571034712746,13.008989949,727.4357424,1.825304959,0.14031104383629037,127403941,AHMCNUTS,2000,1000,0.8,10
298.76401680883237,1.0050456993782977,241.1617896493103,0.999821777420577,199.03164112512772,1.0000285921492194,457.15068074117926,0.9997829014646201,311.32670200548756,1.001127350922049,429.440746123138,1.0017186549242727,0.2230847886892593,1.178939775,36.1679936,0.067329682,0.05711036596419864,4704254,DHMCNUTS,2000,1000,0.8,10
371.33599231921045,1.0008448951388738,103.03539814607394,1.0052416455526525,74.74630739023013,1.008709368370693,213.42018858529258,1.0034493795683708,198.12560170930055,1.0142525312578403,529.5270494733079,0.9995714199331194,0.07925089999999996,3.291002188,0.9503963,0.027787707,0.008443539509430432,214015,CmdStanNUTS,2000,1000,0.8,10
441.06609954045723,0.9990407401320601,281.13066335612854,0.9992826431629939,338.9882602075731,1.0002198371751758,331.90959019461974,0.9994579199624334,341.06472055549466,0.9989997119574628,378.5410586979651,1.0003187566644858,0.20199945769271238,15.418139637,904.3319376,1.753927915,0.11375742834699559,158769955,AHMCNUTS,2000,1000,0.8,10
