B0_ess,B0_ess_ps,B0_hdp_lb,B0_hdp_ub,B0_mean,B0_r_hat,B[1]_ess,B[1]_ess_ps,B[1]_hdp_lb,B[1]_hdp_ub,B[1]_mean,B[1]_r_hat,B[2]_ess,B[2]_ess_ps,B[2]_hdp_lb,B[2]_hdp_ub,B[2]_mean,B[2]_r_hat,sigma_ess,sigma_ess_ps,sigma_hdp_lb,sigma_hdp_ub,sigma_mean,sigma_r_hat,epsilon,tree_depth,time,megabytes,gctime,gcpercent,allocations,sampler,Nsamples,Nadapt,delta,Nd,Nc,B[3]_ess,B[3]_ess_ps,B[3]_hdp_lb,B[3]_hdp_ub,B[3]_mean,B[3]_r_hat,B0_sampler_rhat,B[1]_sampler_rhat,B[2]_sampler_rhat,sigma_sampler_rhat,B[3]_sampler_rhat
600.1595644686314,953.3369915145996,-0.641729,2.12884,0.8197482582139993,0.9991944200078868,443.99604698555635,705.2755312703321,0.335924,0.515311,0.4318090930000001,1.0002684161221793,453.19984297508364,719.8955085207799,0.481565,0.680659,0.5941568529999992,1.0050665100199803,288.5805678910047,458.40230946975856,0.427941,1.43834,0.8364578049999997,1.000883138556298,0.2183530000000013,3.537,0.629535589,8.53304,0.018832501,0.029914910815312147,194518,CmdStanNUTS,2000,1000,0.8,10,2,,,,,,,1.0236632679020259,1.1229191929684215,1.9381812497742692,1.0045870298795956,
313.78005080660665,187.57156174428215,-0.6373277963129788,2.212598621596136,0.7836837205417504,1.0028417254566246,262.004992567033,156.62144713873784,0.3187317380617646,0.5229680415068617,0.43532022885754557,1.0048143058331884,592.4939194717939,354.1812473853273,0.49536860321296655,0.7065782980005743,0.5942963558996185,0.9990070089083116,172.23445523074926,102.95838014800613,0.40005527612749153,1.5044172970024379,0.8530516523435308,1.0136836573725534,0.261181016426683,3.317,1.672855138,556.917776,0.394260961,0.23568147178085183,9129515,AHMCNUTS,2000,1000,0.8,10,2,,,,,,,1.0236632679020259,1.1229191929684215,1.9381812497742692,1.0045870298795956,
339.36666466356365,589.3901782875549,-0.28582779658799373,2.1000924701508987,0.8686134935128138,1.0018148835614957,498.253207147741,865.3340978091733,0.35041225067814585,0.5216025328592566,0.4292166764302066,0.999908356788906,358.60203015807883,622.7969229054385,0.49708955680504086,0.6817099437031359,0.5919947453470937,0.9998112519447071,231.41040954928627,401.8987035072029,0.4312253611971901,1.3360366854586947,0.8358314335708447,1.0064473226483612,0.16711669298419243,3.566,0.575792874,285.633091,0.186707297,0.3242612151535588,5019286,DHMCNUTS,2000,1000,0.8,10,2,,,,,,,1.0236632679020259,1.1229191929684215,1.9381812497742692,1.0045870298795956,
371.4560813534937,724.8180668697902,-3.09532,2.34281,-0.25386599659000003,1.000816542765535,301.06891917492516,587.4723902642977,0.380486,0.735647,0.5525607129999998,0.9992142010098363,293.1038444874947,571.9302297580525,0.370303,0.722141,0.5414465559999997,0.9996952372439157,378.20107369849285,737.9794944462076,0.658236,2.29544,1.346934321000002,1.0023780220985419,0.20504500000000386,3.577,0.512481819,8.531856,0,0,194518,CmdStanNUTS,2000,1000,0.8,10,2,,,,,,,1.0410240587371349,1.1233212565214903,1.0050843165575276,1.000728053236361,
403.8159194832088,296.65241191941425,-3.048567185307957,2.6550797320434687,-0.11302170782716851,0.9997795103440238,516.332720002905,379.3098274525614,0.373981586529383,0.7084733029657868,0.5486339056105117,1.0010261942678444,567.1530239098673,416.64358523945543,0.38824716121970765,0.687120321339764,0.533663664130303,0.9991877451588653,339.5045247064049,249.4077901648878,0.5925028599251476,2.23058432752491,1.3035830018365824,0.9995053402538254,0.1897432874397752,3.695,1.361242664,633.120896,0.237595,0.17454272209029148,10341049,AHMCNUTS,2000,1000,0.8,10,2,,,,,,,1.0410240587371349,1.1233212565214903,1.0050843165575276,1.000728053236361,
482.2988199605697,1088.5774229825574,-2.6244341045982362,2.8089444125873504,-0.12187917149504521,1.0005570043627041,514.8543294097802,1162.0571644071856,0.35294683276573924,0.7145019470663443,0.5475919654557794,1.0016971125440974,590.7256455884788,1333.3032849157423,0.3617093389272269,0.7041060407100896,0.5376991685293037,1.0001683933246517,360.9607746818006,814.7101623284634,0.6137705337053324,2.166915448598478,1.3320817204111781,0.999638143156646,0.1913368923914901,3.635,0.443054219,289.245248,0.090422013,0.20408791773631657,5080596,DHMCNUTS,2000,1000,0.8,10,2,,,,,,,1.0410240587371349,1.1233212565214903,1.0050843165575276,1.000728053236361,
270.4404571081066,553.8817019603002,-2.91858,3.58202,0.2915370866100001,1.009228946651261,426.8331740740657,874.1853472565143,0.237143,0.717803,0.4665703339800002,0.9999087926724195,432.73820477638986,886.2792790983159,0.366751,0.784352,0.5852284050000002,1.0022108562995924,77.9540555967944,159.65556873541496,0.674363,2.20194,1.3151261459999988,1.0042064434816853,0.16922999999999902,3.853,0.488263931,8.53136,0,0,194518,CmdStanNUTS,2000,1000,0.8,10,2,,,,,,,1.007472161021539,1.0040645247947673,1.1566733398963975,1.0039563331877306,
469.1914120889688,268.77114388251795,-3.125996954977251,3.5777930318721047,0.2549978921003552,0.9994134451931009,505.19107396976653,289.3931545455161,0.1762839525389746,0.7580156600689624,0.46025643447493897,0.9990001338287909,440.8478276204925,252.5348330229351,0.37041541479101325,0.7937262786473718,0.5958569711433006,0.9998752063928444,266.11879321996645,152.44322598300872,0.6448829214137695,2.293248413454545,1.3281716270256245,1.0035608868072676,0.16807844835608637,3.971,1.745691168,802.049216,0.298594348,0.17104649062416521,13027359,AHMCNUTS,2000,1000,0.8,10,2,,,,,,,1.007472161021539,1.0040645247947673,1.1566733398963975,1.0039563331877306,
412.083808289078,783.0736632496714,-2.8464134346668684,3.223987390076401,0.3207685925534858,1.0043178360797447,431.9905960998896,820.9020878103638,0.2028209559374484,0.6987675779911535,0.46077236858544224,1.0043005643122718,626.9648531683871,1191.4073167246397,0.40206748266177533,0.7952961190577797,0.5900147573780185,0.9992364363743766,335.1391252364098,636.8573994372146,0.6905996660459792,2.1087371377819015,1.28508328950005,1.010589938952174,0.12173241915922971,4.239,0.526238881,415.05296,0.145022008,0.27558208493530145,7280277,DHMCNUTS,2000,1000,0.8,10,2,,,,,,,1.007472161021539,1.0040645247947673,1.1566733398963975,1.0039563331877306,
179.78009234567122,229.25194847819404,-5.22628,9.71234,1.5143829784200014,0.9990236363153336,137.63057150494055,175.5037294508028,-0.120383,1.06378,0.4597183654160009,0.9994256163767385,147.6036585024162,188.22120888182775,0.133098,0.851048,0.48033133362999936,0.999845430305767,276.32645235734446,352.36591989943645,1.01424,2.9707,1.8109343600000016,0.9991483319048494,0.14607599999999674,3.966,0.784203116,8.53264,0.010052069,0.012818195687965106,194519,CmdStanNUTS,2000,1000,0.8,10,2,,,,,,,1.0202776920679888,1.0289448200603108,1.0009565726356977,1.0018235702855307,
